scenario_id,evidence_id,evidence_role,source_dataset,record_id,date,market,product_code,customer_code,metric_name,metric_value,baseline_value,change_value,change_percent,evidence_text,evidence_strength,direction,is_contradictory,calculation_formula
S005,EVID-320d19cf,SUPPORTING,fact_support_tickets.csv,TKT002316,2020-03-01,Indonesia,A5318110108,70003182.0,unstructured_text,,,,,Delivery is taking longer than expected and this is affecting our purchase decision.,WEAK,,False,
S005,EVID-8d9ddcc5,SUPPORTING,fact_support_tickets.csv,TKT002892,2020-03-01,Indonesia,A5519110304,90003180.0,unstructured_text,,,,,We need clarification about the product quality and warranty.,WEAK,,False,
S005,EVID-db92e50b,SUPPORTING,fact_support_tickets.csv,TKT003073,2020-03-01,Indonesia,A3920150305,70003181.0,unstructured_text,,,,,Delivery is taking longer than expected and this is affecting our purchase decision.,WEAK,,False,
S005,EVID-9c83a2c8,SUPPORTING,fact_support_tickets.csv,TKT003096,2020-03-01,Indonesia,A3119150301,70003182.0,unstructured_text,,,,,Delivery is taking longer than expected and this is affecting our purchase decision.,WEAK,,False,
S005,EVID-3fa70864,SUPPORTING,fact_support_tickets.csv,TKT004096,2020-03-01,Indonesia,A2219150204,70003181.0,unstructured_text,,,,,Delivery is taking longer than expected and this is affecting our purchase decision.,WEAK,,False,
S005,EVID-66a96688,SUPPORTING,fact_support_tickets.csv,TKT004526,2020-03-01,Indonesia,A4419110405,90003179.0,unstructured_text,,,,,Please provide more information about the product and available variants.,WEAK,,False,
S005,EVID-d706c1d5,SUPPORTING,fact_crm_notes.csv,CRM000020,2020-03-01,Indonesia,A2319150306,90003180.0,unstructured_text,,,,,Customer requested a better commercial offer before renewing the purchase.,WEAK,,False,
S005,EVID-64f62d42,SUPPORTING,fact_crm_notes.csv,CRM000207,2020-03-01,Indonesia,A5721110508,70003181.0,unstructured_text,,,,,Customer requested a better commercial offer before renewing the purchase.,WEAK,,False,
S005,EVID-8311264a,SUPPORTING,fact_crm_notes.csv,CRM000498,2020-03-01,Indonesia,A3320150505,70003182.0,unstructured_text,,,,,Customer is satisfied with the product and is considering expanding the order.,WEAK,,False,
S005,EVID-10a258fc,SUPPORTING,fact_crm_notes.csv,CRM001199,2020-03-01,Indonesia,A3718150101,90003179.0,unstructured_text,,,,,Customer asked for more information about the premium variant.,WEAK,,False,
S005,EVID-18190791,SUPPORTING,fact_crm_notes.csv,CRM001397,2020-03-01,Indonesia,A1819150301,90003180.0,unstructured_text,,,,,Customer mentioned a competitor's promotional pricing.,WEAK,,False,
S005,EVID-1455caae,SUPPORTING,fact_crm_notes.csv,CRM002801,2020-03-01,Indonesia,A2620150604,70003182.0,unstructured_text,,,,,Customer requested a better commercial offer before renewing the purchase.,WEAK,,False,
S005,EVID-dad3c0ac,SUPPORTING,fact_crm_notes.csv,CRM002863,2020-03-01,Indonesia,A0721150404,70003181.0,unstructured_text,,,,,Customer is satisfied with the product and is considering expanding the order.,WEAK,,False,
S005,EVID-322b3266,SUPPORTING,fact_crm_notes.csv,CRM003175,2020-03-01,Indonesia,A5519110302,70003181.0,unstructured_text,,,,,Customer is considering a competitor because our price is higher.,WEAK,,False,
S005,EVID-e170322d,SUPPORTING,fact_sales_calls.csv,CALL000488,2020-03-01,Indonesia,A7018160402,90003180.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S005,EVID-c7a94b55,SUPPORTING,fact_sales_calls.csv,CALL000577,2020-03-01,Indonesia,A6620160502,70003181.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
S005,EVID-6321716b,SUPPORTING,fact_sales_calls.csv,CALL002448,2020-03-01,Indonesia,A4319110302,70003182.0,unstructured_text,,,,,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",WEAK,,False,
