call_id,date,customer_code,product_code,market,sales_rep,duration_minutes,transcript,outcome
CALL000066,2021-03-01,70007199,A6119110201,South Korea,Rep-08,13,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000067,2020-05-01,90014135,A0621150307,Netherlands,Rep-11,18,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000068,2021-03-01,90022077,A0320150301,USA,Rep-20,7,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000069,2019-09-01,80001019,A3320150505,China,Rep-14,16,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000070,2020-04-01,90004067,A5520110308,Japan,Rep-20,25,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000071,2021-05-01,90004061,A0418150103,Japan,Rep-06,28,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000072,2019-04-01,70006158,A3920150301,Philiphines,Rep-17,14,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000073,2020-07-01,80006155,A7119160102,Philiphines,Rep-23,6,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000074,2019-04-01,90001021,A4520110507,China,Rep-24,27,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000075,2021-07-01,90001021,A5419110207,China,Rep-03,27,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000076,2021-05-01,90023030,A4419110408,Canada,Rep-23,23,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000077,2021-05-01,90006156,A1219150303,Philiphines,Rep-17,5,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000078,2020-06-01,90022079,A0321150303,USA,Rep-06,10,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000079,2020-12-01,70020104,A3220150401,Austria,Rep-23,4,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000080,2021-03-01,90003180,A1521150602,Indonesia,Rep-20,15,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000081,2020-09-01,90023030,A4620110604,Canada,Rep-07,10,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000082,2020-07-01,80001019,A6719160101,China,Rep-28,24,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000083,2020-11-01,90023029,A0219150201,Canada,Rep-24,25,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000084,2018-11-01,70021096,A3220150404,United Kingdom,Rep-10,6,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000085,2021-06-01,90011185,A6120110205,France,Rep-21,24,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000086,2020-03-01,90016176,A6019110107,Poland,Rep-21,5,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000087,2020-07-01,90010046,A2918150102,Bangladesh,Rep-19,14,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000088,2019-09-01,90003179,A0721150403,Indonesia,Rep-08,23,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000089,2019-01-01,70005163,A2821150805,Pakistan,Rep-16,19,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000090,2020-07-01,90020103,A0821150501,Austria,Rep-18,16,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000091,2019-12-01,90009128,A6120110207,Newzealand,Rep-30,30,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000092,2020-02-01,70013125,A5419110208,Italy,Rep-11,8,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000093,2019-11-01,70005163,A5419110208,Pakistan,Rep-25,19,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000094,2019-08-01,80006155,A5419110204,Philiphines,Rep-05,11,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000095,2021-07-01,80006154,A2419150401,Philiphines,Rep-29,27,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000096,2019-02-01,90020102,A3621150806,Austria,Rep-25,28,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000097,2019-08-01,70008170,A6818160201,Australia,Rep-01,18,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000098,2021-08-01,90008164,A4419110404,Australia,Rep-26,13,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000099,2021-06-01,90005162,A5519110303,Pakistan,Rep-21,26,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000100,2019-11-01,90009132,A3018150201,Newzealand,Rep-01,13,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000101,2021-08-01,90018105,A2319150304,Spain,Rep-05,30,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000102,2021-01-01,90002010,A4419110404,India,Rep-17,8,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000103,2020-07-01,90011188,A0219150202,France,Rep-18,5,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000104,2019-08-01,90015147,A4520110507,Norway,Rep-28,18,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000105,2021-07-01,90017053,A3019150205,Portugal,Rep-20,28,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000106,2021-05-01,90003180,A2721150704,Indonesia,Rep-28,6,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000107,2021-05-01,70007198,A4721110704,South Korea,Rep-25,11,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000108,2020-04-01,70022085,A3621150804,USA,Rep-23,28,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000109,2020-09-01,70017060,A2218150201,Portugal,Rep-02,10,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000110,2020-08-01,90011188,A5419110208,France,Rep-30,25,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000111,2021-06-01,90022071,A4318110301,USA,Rep-08,27,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000112,2020-07-01,90012040,A3818150201,Germany,Rep-13,7,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000113,2020-10-01,90020097,A2319150301,Austria,Rep-09,26,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000114,2019-05-01,70009134,A2620150605,Newzealand,Rep-20,28,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000115,2019-06-01,90008167,A5621110405,Australia,Rep-30,21,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000116,2020-12-01,90009127,A4419110402,Newzealand,Rep-08,12,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000117,2018-09-01,90008167,A2419150401,Australia,Rep-26,22,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000118,2021-08-01,70019204,A4720110702,Sweden,Rep-17,15,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000119,2020-05-01,90003180,A0619150301,Indonesia,Rep-27,26,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000120,2019-06-01,90002007,A5419110203,India,Rep-13,23,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000121,2019-04-01,90018114,A2520150506,Spain,Rep-16,10,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000122,2019-06-01,90019200,A1618150103,Sweden,Rep-01,20,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000123,2019-05-01,70009133,A2319150302,Newzealand,Rep-21,13,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
CALL000124,2019-04-01,70014143,A4721110706,Netherlands,Rep-26,26,"Sales Rep: Are you satisfied with the product? Customer: Yes, the product is performing well. Sales Rep: Would you consider increasing the order? Customer: We are evaluating the next purchase.",Follow-up required
