date,product_code,market,opening_stock_units,received_units,closing_stock_units,stockout_flag,stockout_hours
2018-09-01,A5721110505,Portugal,25,13,37,0,0
2018-09-01,A5721110505,USA,22,19,41,0,0
2018-09-01,A5721110505,India,18,21,39,0,0
2018-09-01,A5721110504,China,23,21,44,0,0
2018-09-01,A5721110504,Indonesia,21,16,36,0,0
2018-09-01,A5721110504,South Korea,23,12,34,0,0
2018-09-01,A5721110504,Sweden,28,18,46,0,0
2018-09-01,A5721110504,Pakistan,21,21,42,0,0
2018-09-01,A5721110504,Bangladesh,19,21,39,0,0
2018-09-01,A5721110504,Philiphines,21,19,40,0,0
2018-09-01,A5721110504,Australia,22,14,35,0,0
2018-09-01,A5721110504,Newzealand,26,15,41,0,0
2018-09-01,A5721110504,Austria,25,16,41,0,0
2018-09-01,A5721110504,Poland,27,16,44,0,0
2018-09-01,A5721110504,Norway,26,21,47,0,0
2018-09-01,A5721110504,Netherlands,23,13,36,0,0
2018-09-01,A5721110504,Japan,28,15,43,0,0
2018-09-01,A5721110504,France,20,14,34,0,0
2018-09-01,A5721110504,Canada,18,15,33,0,0
2018-09-01,A5721110504,Germany,19,15,34,0,0
2018-09-01,A5721110504,United Kingdom,27,22,49,0,0
2018-09-01,A5721110504,Spain,24,21,45,0,0
2018-09-01,A5721110504,Italy,20,20,40,0,0
2018-09-01,A5721110504,Portugal,24,19,43,0,0
2018-09-01,A5721110504,USA,20,14,33,0,0
2018-09-01,A5721110504,India,26,20,47,0,0
2018-09-01,A5721110503,China,23,12,35,0,0
2018-09-01,A5721110503,Indonesia,23,20,43,0,0
2018-09-01,A5721110503,South Korea,22,17,39,0,0
2018-09-01,A5721110503,Sweden,26,16,41,0,0
2018-09-01,A5721110503,Pakistan,22,15,37,0,0
2018-09-01,A5721110503,Bangladesh,19,21,40,0,0
2018-09-01,A5721110503,Philiphines,19,20,40,0,0
2018-09-01,A5721110503,Australia,30,12,41,0,0
2018-09-01,A5721110503,Newzealand,29,22,51,0,0
2018-09-01,A5721110503,Austria,26,18,44,0,0
2018-09-01,A5721110503,Poland,21,18,39,0,0
2018-09-01,A5721110503,Norway,30,18,47,0,0
2018-09-01,A5721110503,Netherlands,27,17,44,0,0
2018-09-01,A5721110503,Japan,27,12,38,0,0
2018-09-01,A5721110503,France,23,15,38,0,0
2018-09-01,A5721110503,Canada,21,15,36,0,0
2018-09-01,A5721110503,Germany,19,19,38,0,0
2018-09-01,A5721110503,United Kingdom,29,18,46,0,0
2018-09-01,A5721110503,Spain,23,13,37,0,0
2018-09-01,A5721110503,Italy,20,21,41,0,0
2018-09-01,A5721110503,Portugal,22,17,38,0,0
2018-09-01,A5721110503,USA,25,14,39,0,0
2018-09-01,A5721110503,India,20,17,37,0,0
2018-09-01,A5721110502,China,28,18,46,0,0
2018-09-01,A5721110502,Indonesia,27,21,48,0,0
2018-09-01,A5721110502,South Korea,27,22,49,0,0
2018-09-01,A5721110502,Sweden,23,16,40,0,0
2018-09-01,A5721110502,Pakistan,26,18,43,0,0
2018-09-01,A5721110502,Bangladesh,25,18,43,0,0
2018-09-01,A5721110502,Philiphines,26,17,43,0,0
2018-09-01,A5721110502,Australia,19,20,39,0,0
2018-09-01,A5721110502,Newzealand,23,16,39,0,0
2018-09-01,A5721110502,Austria,18,14,33,0,0
2018-09-01,A5721110502,Poland,24,20,44,0,0
2018-09-01,A5721110502,Norway,22,18,40,0,0
2018-09-01,A5721110502,Netherlands,20,20,40,0,0
2018-09-01,A5721110502,Japan,19,13,32,0,0
2018-09-01,A5721110502,France,25,14,39,0,0
2018-09-01,A5721110502,Canada,20,19,39,0,0
2018-09-01,A5721110502,Germany,29,19,48,0,0
2018-09-01,A5721110502,United Kingdom,25,22,47,0,0
2018-09-01,A5721110502,Spain,22,18,40,0,0
2018-09-01,A5721110502,Italy,25,11,36,0,0
2018-09-01,A5721110502,Portugal,18,12,30,0,0
2018-09-01,A5721110502,USA,30,21,50,0,0
2018-09-01,A5721110502,India,24,20,44,0,0
2018-09-01,A5721110501,China,27,20,47,0,0
2018-09-01,A5721110501,Indonesia,19,18,37,0,0
2018-09-01,A5721110501,South Korea,24,15,39,0,0
2018-09-01,A5721110501,Sweden,24,20,44,0,0
2018-09-01,A5721110501,Pakistan,29,20,49,0,0
2018-09-01,A5721110501,Bangladesh,25,19,44,0,0
2018-09-01,A5721110501,Philiphines,24,12,36,0,0
2018-09-01,A5721110501,Australia,21,23,44,0,0
2018-09-01,A5721110501,Newzealand,22,22,44,0,0
2018-09-01,A5721110501,Austria,24,18,42,0,0
2018-09-01,A5721110501,Poland,23,14,37,0,0
2018-09-01,A5721110501,Norway,18,22,40,0,0
2018-09-01,A5721110501,Netherlands,28,15,43,0,0
2018-09-01,A5721110501,Japan,29,19,47,0,0
2018-09-01,A5721110501,France,20,13,33,0,0
2018-09-01,A5721110501,Canada,25,16,40,0,0
2018-09-01,A5721110501,Germany,19,11,31,0,0
2018-09-01,A5721110501,United Kingdom,26,19,45,0,0
2018-09-01,A5721110501,Spain,21,15,36,0,0
2018-09-01,A5721110501,Italy,26,23,49,0,0
2018-09-01,A5721110501,Portugal,27,14,41,0,0
2018-09-01,A5721110501,USA,27,17,44,0,0
2018-09-01,A5721110501,India,19,21,40,0,0
2018-09-01,A5621110408,China,29,14,43,0,0
2018-09-01,A5621110408,Indonesia,21,18,39,0,0
2018-09-01,A5621110408,South Korea,18,13,31,0,0
2018-09-01,A5621110408,Sweden,25,17,42,0,0
2018-09-01,A5621110408,Pakistan,22,22,45,0,0
2018-09-01,A5621110408,Bangladesh,28,13,41,0,0
2018-09-01,A5621110408,Philiphines,28,11,39,0,0
2018-09-01,A5621110408,Australia,22,18,40,0,0
2018-09-01,A5621110408,Newzealand,29,20,49,0,0
2018-09-01,A5621110408,Austria,21,20,42,0,0
2018-09-01,A5621110408,Poland,24,13,38,0,0
2018-09-01,A5621110408,Norway,21,16,37,0,0
2018-09-01,A5621110408,Netherlands,29,19,48,0,0
2018-09-01,A5621110408,Japan,20,17,37,0,0
2018-09-01,A5621110408,France,19,15,33,0,0
2018-09-01,A5621110408,Canada,23,17,40,0,0
2018-09-01,A5621110408,Germany,30,18,48,0,0
2018-09-01,A5621110408,United Kingdom,29,20,48,0,0
2018-09-01,A5621110408,Spain,27,20,47,0,0
2018-09-01,A5621110408,Italy,29,13,42,0,0
2018-09-01,A5621110408,Portugal,29,23,51,0,0
2018-09-01,A5621110408,USA,24,13,37,0,0
2018-09-01,A5621110408,India,22,19,41,0,0
2018-09-01,A5621110407,China,27,13,40,0,0
2018-09-01,A5621110407,Indonesia,26,15,41,0,0
2018-09-01,A5621110407,South Korea,22,18,41,0,0
2018-09-01,A5621110407,Sweden,19,19,39,0,0
2018-09-01,A5621110407,Pakistan,27,12,39,0,0
2018-09-01,A5621110407,Bangladesh,21,22,44,0,0
2018-09-01,A5621110407,Philiphines,29,22,51,0,0
2018-09-01,A5621110407,Australia,21,15,36,0,0
2018-09-01,A5621110407,Newzealand,19,19,39,0,0
2018-09-01,A5621110407,Austria,28,22,50,0,0
2018-09-01,A5621110407,Poland,20,14,34,0,0
2018-09-01,A5621110407,Norway,20,16,37,0,0
2018-09-01,A5621110407,Netherlands,25,17,42,0,0
2018-09-01,A5621110407,Japan,28,19,48,0,0
2018-09-01,A5621110407,France,20,17,37,0,0
2018-09-01,A5621110407,Canada,22,23,44,0,0
2018-09-01,A5621110407,Germany,27,19,47,0,0
2018-09-01,A5621110407,United Kingdom,30,20,50,0,0
2018-09-01,A5621110407,Spain,24,19,43,0,0
2018-09-01,A5621110407,Italy,20,18,38,0,0
2018-09-01,A5621110407,Portugal,18,12,30,0,0
2018-09-01,A5621110407,USA,21,22,43,0,0
2018-09-01,A5621110407,India,20,16,36,0,0
2018-09-01,A5621110405,China,26,18,45,0,0
2018-09-01,A5621110405,Indonesia,19,14,32,0,0
2018-09-01,A5621110405,South Korea,24,17,41,0,0
2018-09-01,A5621110405,Sweden,26,17,43,0,0
2018-09-01,A5621110405,Pakistan,25,19,44,0,0
2018-09-01,A5621110405,Bangladesh,20,20,40,0,0
2018-09-01,A5621110405,Philiphines,28,11,31,0,0
2018-09-01,A5621110405,Australia,27,19,45,0,0
2018-09-01,A5621110405,Newzealand,27,15,42,0,0
2018-09-01,A5621110405,Austria,20,19,39,0,0
2018-09-01,A5621110405,Poland,19,22,41,0,0
2018-09-01,A5621110405,Norway,29,18,47,0,0
2018-09-01,A5621110405,Netherlands,23,13,36,0,0
2018-09-01,A5621110405,Japan,22,20,41,0,0
2018-09-01,A5621110405,France,24,20,43,0,0
2018-09-01,A5621110405,Canada,26,17,37,0,0
2018-09-01,A5621110405,Germany,29,14,42,0,0
2018-09-01,A5621110405,United Kingdom,21,17,39,0,0
2018-09-01,A5621110405,Spain,29,17,46,0,0
2018-09-01,A5621110405,Italy,18,12,30,0,0
2018-09-01,A5621110405,Portugal,25,15,40,0,0
2018-09-01,A5621110405,USA,26,22,35,0,0
2018-09-01,A5621110405,India,19,19,21,0,0
2018-09-01,A5621110404,China,20,19,37,0,0
2018-09-01,A5621110404,Indonesia,23,20,43,0,0
2018-09-01,A5621110404,South Korea,30,19,42,0,0
2018-09-01,A5621110404,Sweden,25,21,46,0,0
2018-09-01,A5621110404,Pakistan,29,13,42,0,0
2018-09-01,A5621110404,Bangladesh,28,19,47,0,0
2018-09-01,A5621110404,Philiphines,24,19,39,0,0
2018-09-01,A5621110404,Australia,27,18,43,0,0
2018-09-01,A5621110404,Newzealand,18,19,37,0,0
2018-09-01,A5621110404,Austria,19,12,31,0,0
2018-09-01,A5621110404,Poland,28,13,41,0,0
2018-09-01,A5621110404,Norway,28,20,48,0,0
2018-09-01,A5621110404,Netherlands,21,18,39,0,0
2018-09-01,A5621110404,Japan,24,20,44,0,0
2018-09-01,A5621110404,France,25,20,43,0,0
2018-09-01,A5621110404,Canada,28,12,38,0,0
2018-09-01,A5621110404,Germany,25,12,36,0,0
2018-09-01,A5621110404,United Kingdom,23,20,43,0,0
2018-09-01,A5621110404,Spain,22,22,44,0,0
2018-09-01,A5621110404,Italy,23,21,42,0,0
2018-09-01,A5621110404,Portugal,26,13,39,0,0
2018-09-01,A5621110404,USA,28,17,38,0,0
2018-09-01,A5621110404,India,23,15,30,0,0
2018-09-01,A5621110403,China,21,19,38,0,0
2018-09-01,A5621110403,Indonesia,21,20,41,0,0
2018-09-01,A5621110403,South Korea,27,11,32,0,0
2018-09-01,A5621110403,Sweden,28,13,41,0,0
2018-09-01,A5621110403,Pakistan,19,13,33,0,0
2018-09-01,A5621110403,Bangladesh,19,18,36,0,0
2018-09-01,A5621110403,Philiphines,25,16,37,0,0
2018-09-01,A5621110403,Australia,20,17,32,0,0
2018-09-01,A5621110403,Newzealand,28,17,45,0,0
2018-09-01,A5621110403,Austria,22,17,39,0,0
2018-09-01,A5621110403,Poland,20,13,33,0,0
2018-09-01,A5621110403,Norway,29,12,41,0,0
2018-09-01,A5621110403,Netherlands,20,16,36,0,0
2018-09-01,A5621110403,Japan,21,11,32,0,0
2018-09-01,A5621110403,France,20,17,34,0,0
2018-09-01,A5621110403,Canada,19,15,35,0,0
2018-09-01,A5621110403,Germany,18,21,38,0,0
2018-09-01,A5621110403,United Kingdom,19,17,36,0,0
2018-09-01,A5621110403,Spain,20,12,32,0,0
2018-09-01,A5621110403,Italy,19,15,34,0,0
2018-09-01,A5621110403,Portugal,25,16,41,0,0
2018-09-01,A5621110403,USA,26,17,29,0,0
2018-09-01,A5621110403,India,23,22,31,0,0
2018-09-01,A5620110402,China,22,21,42,0,0
2018-09-01,A5620110402,Indonesia,24,21,42,0,0
2018-09-01,A5620110402,South Korea,29,21,50,0,0
2018-09-01,A5620110402,Sweden,28,15,43,0,0
2018-09-01,A5620110402,Pakistan,19,11,30,0,0
2018-09-01,A5620110402,Bangladesh,20,17,37,0,0
2018-09-01,A5620110402,Philiphines,21,13,30,0,0
2018-09-01,A5620110402,Australia,21,22,40,0,0
2018-09-01,A5620110402,Newzealand,25,15,40,0,0
2018-09-01,A5620110402,Austria,23,22,45,0,0
2018-09-01,A5620110402,Poland,19,23,41,0,0
2018-09-01,A5620110402,Norway,22,21,43,0,0
2018-09-01,A5620110402,Netherlands,24,18,42,0,0
2018-09-01,A5620110402,Japan,19,18,38,0,0
2018-09-01,A5620110402,France,28,13,39,0,0
2018-09-01,A5620110402,Canada,19,17,34,0,0
2018-09-01,A5620110402,Germany,29,20,49,0,0
2018-09-01,A5620110402,United Kingdom,19,15,34,0,0
2018-09-01,A5620110402,Spain,28,11,39,0,0
2018-09-01,A5620110402,Italy,29,12,41,0,0
2018-09-01,A5620110402,Portugal,30,15,45,0,0
2018-09-01,A5620110402,USA,28,17,42,0,0
2018-09-01,A5620110402,India,27,15,27,0,0
2018-09-01,A5620110401,China,26,14,39,0,0
2018-09-01,A5620110401,Indonesia,27,21,46,0,0
2018-09-01,A5620110401,South Korea,20,16,27,0,0
2018-09-01,A5620110401,Sweden,24,11,36,0,0
2018-09-01,A5620110401,Pakistan,24,17,41,0,0
2018-09-01,A5620110401,Bangladesh,28,13,41,0,0
2018-09-01,A5620110401,Philiphines,24,14,36,0,0
2018-09-01,A5620110401,Australia,23,12,35,0,0
2018-09-01,A5620110401,Newzealand,26,12,38,0,0
2018-09-01,A5620110401,Austria,21,12,33,0,0
2018-09-01,A5620110401,Poland,20,16,35,0,0
2018-09-01,A5620110401,Norway,24,21,45,0,0
2018-09-01,A5620110401,Netherlands,23,18,41,0,0
2018-09-01,A5620110401,Japan,21,15,36,0,0
2018-09-01,A5620110401,France,22,16,38,0,0
2018-09-01,A5620110401,Canada,22,19,34,0,0
2018-09-01,A5620110401,Germany,22,22,41,0,0
2018-09-01,A5620110401,United Kingdom,23,14,36,0,0
2018-09-01,A5620110401,Spain,26,19,45,0,0
2018-09-01,A5620110401,Italy,22,14,36,0,0
2018-09-01,A5620110401,Portugal,29,17,46,0,0
2018-09-01,A5620110401,USA,29,21,41,0,0
2018-09-01,A5620110401,India,27,23,26,0,0
2018-09-01,A5520110308,China,22,22,44,0,0
2018-09-01,A5520110308,Indonesia,24,23,47,0,0
2018-09-01,A5520110308,South Korea,28,12,40,0,0
2018-09-01,A5520110308,Sweden,26,20,46,0,0
2018-09-01,A5520110308,Pakistan,28,17,44,0,0
2018-09-01,A5520110308,Bangladesh,24,14,39,0,0
2018-09-01,A5520110308,Philiphines,26,19,45,0,0
2018-09-01,A5520110308,Australia,21,16,35,0,0
2018-09-01,A5520110308,Newzealand,27,22,49,0,0
2018-09-01,A5520110308,Austria,20,12,33,0,0
2018-09-01,A5520110308,Poland,26,22,48,0,0
2018-09-01,A5520110308,Norway,28,15,44,0,0
2018-09-01,A5520110308,Netherlands,20,14,34,0,0
2018-09-01,A5520110308,Japan,25,13,38,0,0
2018-09-01,A5520110308,France,19,15,32,0,0
2018-09-01,A5520110308,Canada,27,23,46,0,0
2018-09-01,A5520110308,Germany,19,14,32,0,0
2018-09-01,A5520110308,United Kingdom,29,19,49,0,0
2018-09-01,A5520110308,Spain,20,18,37,0,0
2018-09-01,A5520110308,Italy,30,11,41,0,0
2018-09-01,A5520110308,Portugal,28,22,49,0,0
2018-09-01,A5520110308,USA,25,18,32,0,0
2018-09-01,A5520110308,India,38,16,24,0,0
2018-09-01,A5520110307,China,28,19,46,0,0
2018-09-01,A5520110307,Indonesia,29,23,51,0,0
2018-09-01,A5520110307,South Korea,21,21,29,0,0
2018-09-01,A5520110307,Sweden,25,20,45,0,0
2018-09-01,A5520110307,Pakistan,19,22,41,0,0
2018-09-01,A5520110307,Bangladesh,25,15,40,0,0
2018-09-01,A5520110307,Philiphines,20,13,27,0,0
2018-09-01,A5520110307,Australia,25,14,38,0,0
2018-09-01,A5520110307,Newzealand,25,17,42,0,0
2018-09-01,A5520110307,Austria,24,18,41,0,0
2018-09-01,A5520110307,Poland,24,22,47,0,0
2018-09-01,A5520110307,Norway,27,12,39,0,0
2018-09-01,A5520110307,Netherlands,28,22,50,0,0
2018-09-01,A5520110307,Japan,24,14,38,0,0
2018-09-01,A5520110307,France,25,22,42,0,0
2018-09-01,A5520110307,Canada,29,18,47,0,0
2018-09-01,A5520110307,Germany,19,16,34,0,0
2018-09-01,A5520110307,United Kingdom,19,12,32,0,0
2018-09-01,A5520110307,Spain,19,16,35,0,0
2018-09-01,A5520110307,Italy,26,13,39,0,0
2018-09-01,A5520110307,Portugal,23,15,38,0,0
2018-09-01,A5520110307,USA,27,15,29,0,0
2018-09-01,A5520110307,India,26,18,27,0,0
2018-09-01,A5520110305,China,22,21,42,0,0
2018-09-01,A5520110305,Indonesia,29,14,40,0,0
2018-09-01,A5520110305,South Korea,27,11,38,0,0
2018-09-01,A5520110305,Sweden,21,20,42,0,0
2018-09-01,A5520110305,Pakistan,22,16,39,0,0
2018-09-01,A5520110305,Bangladesh,22,13,34,0,0
2018-09-01,A5520110305,Philiphines,20,16,34,0,0
2018-09-01,A5520110305,Australia,20,17,37,0,0
2018-09-01,A5520110305,Newzealand,29,18,47,0,0
2018-09-01,A5520110305,Austria,23,15,38,0,0
2018-09-01,A5520110305,Poland,23,12,35,0,0
2018-09-01,A5520110305,Norway,27,13,40,0,0
2018-09-01,A5520110305,Netherlands,25,16,41,0,0
2018-09-01,A5520110305,Japan,29,21,51,0,0
2018-09-01,A5520110305,France,27,14,39,0,0
2018-09-01,A5520110305,Canada,24,12,32,0,0
2018-09-01,A5520110305,Germany,23,18,38,0,0
2018-09-01,A5520110305,United Kingdom,30,21,51,0,0
2018-09-01,A5520110305,Spain,27,18,45,0,0
2018-09-01,A5520110305,Italy,29,16,45,0,0
2018-09-01,A5520110305,Portugal,19,22,41,0,0
2018-09-01,A5520110305,USA,28,19,33,0,0
2018-09-01,A5520110305,India,26,12,16,0,0
2018-09-01,A5519110304,China,19,17,36,0,0
2018-09-01,A5519110304,Indonesia,25,20,43,0,0
2018-09-01,A5519110304,South Korea,26,16,42,0,0
2018-09-01,A5519110304,Sweden,18,17,35,0,0
2018-09-01,A5519110304,Pakistan,23,13,37,0,0
2018-09-01,A5519110304,Bangladesh,28,13,41,0,0
2018-09-01,A5519110304,Philiphines,22,20,42,0,0
2018-09-01,A5519110304,Australia,24,13,33,0,0
2018-09-01,A5519110304,Newzealand,23,12,35,0,0
2018-09-01,A5519110304,Austria,22,21,43,0,0
2018-09-01,A5519110304,Poland,29,18,47,0,0
2018-09-01,A5519110304,Norway,27,12,39,0,0
2018-09-01,A5519110304,Netherlands,19,16,36,0,0
2018-09-01,A5519110304,Japan,30,11,41,0,0
2018-09-01,A5519110304,France,29,16,44,0,0
2018-09-01,A5519110304,Canada,21,12,33,0,0
2018-09-01,A5519110304,Germany,28,22,49,0,0
2018-09-01,A5519110304,United Kingdom,19,15,35,0,0
2018-09-01,A5519110304,Spain,30,21,51,0,0
2018-09-01,A5519110304,Italy,26,15,38,0,0
2018-09-01,A5519110304,Portugal,26,21,47,0,0
2018-09-01,A5519110304,USA,19,15,23,0,0
2018-09-01,A5519110304,India,29,23,35,0,0
2018-09-01,A5519110303,China,18,11,29,0,0
2018-09-01,A5519110303,Indonesia,21,17,36,0,0
2018-09-01,A5519110303,South Korea,20,21,32,0,0
2018-09-01,A5519110303,Sweden,27,15,43,0,0
2018-09-01,A5519110303,Pakistan,20,17,37,0,0
2018-09-01,A5519110303,Bangladesh,29,16,45,0,0
2018-09-01,A5519110303,Philiphines,26,22,48,0,0
2018-09-01,A5519110303,Australia,18,20,38,0,0
2018-09-01,A5519110303,Newzealand,18,18,36,0,0
2018-09-01,A5519110303,Austria,19,21,40,0,0
2018-09-01,A5519110303,Poland,25,12,37,0,0
2018-09-01,A5519110303,Norway,28,17,44,0,0
2018-09-01,A5519110303,Netherlands,21,20,41,0,0
2018-09-01,A5519110303,Japan,28,16,44,0,0
2018-09-01,A5519110303,France,19,22,39,0,0
2018-09-01,A5519110303,Canada,28,19,45,0,0
2018-09-01,A5519110303,Germany,29,13,40,0,0
2018-09-01,A5519110303,United Kingdom,27,17,44,0,0
2018-09-01,A5519110303,Spain,26,16,43,0,0
2018-09-01,A5519110303,Italy,28,11,38,0,0
2018-09-01,A5519110303,Portugal,18,14,33,0,0
2018-09-01,A5519110303,USA,20,13,19,0,0
2018-09-01,A5519110303,India,19,21,34,0,0
2018-09-01,A5519110302,China,24,18,42,0,0
2018-09-01,A5519110302,Indonesia,27,12,38,0,0
2018-09-01,A5519110302,South Korea,26,20,46,0,0
2018-09-01,A5519110302,Sweden,28,14,42,0,0
2018-09-01,A5519110302,Pakistan,20,17,37,0,0
2018-09-01,A5519110302,Bangladesh,27,13,40,0,0
2018-09-01,A5519110302,Philiphines,20,21,41,0,0
2018-09-01,A5519110302,Australia,21,14,32,0,0
2018-09-01,A5519110302,Newzealand,27,15,41,0,0
2018-09-01,A5519110302,Austria,30,19,48,0,0
2018-09-01,A5519110302,Poland,25,15,41,0,0
2018-09-01,A5519110302,Norway,19,12,30,0,0
2018-09-01,A5519110302,Netherlands,25,14,40,0,0
2018-09-01,A5519110302,Japan,19,18,36,0,0
2018-09-01,A5519110302,France,29,19,44,0,0
2018-09-01,A5519110302,Canada,27,20,41,0,0
2018-09-01,A5519110302,Germany,20,14,34,0,0
2018-09-01,A5519110302,United Kingdom,19,23,42,0,0
2018-09-01,A5519110302,Spain,20,12,32,0,0
2018-09-01,A5519110302,Italy,30,17,47,0,0
2018-09-01,A5519110302,Portugal,24,15,39,0,0
2018-09-01,A5519110302,USA,27,14,31,0,0
2018-09-01,A5519110302,India,29,24,29,0,0
2018-09-01,A5519110301,China,25,19,42,0,0
2018-09-01,A5519110301,Indonesia,20,17,35,0,0
2018-09-01,A5519110301,South Korea,29,16,40,0,0
2018-09-01,A5519110301,Sweden,22,19,41,0,0
2018-09-01,A5519110301,Pakistan,25,22,47,0,0
2018-09-01,A5519110301,Bangladesh,26,18,45,0,0
2018-09-01,A5519110301,Philiphines,26,13,35,0,0
2018-09-01,A5519110301,Australia,29,18,46,0,0
2018-09-01,A5519110301,Newzealand,20,21,41,0,0
2018-09-01,A5519110301,Austria,24,18,42,0,0
2018-09-01,A5519110301,Poland,23,18,41,0,0
2018-09-01,A5519110301,Norway,24,22,45,0,0
2018-09-01,A5519110301,Netherlands,19,15,34,0,0
2018-09-01,A5519110301,Japan,20,21,41,0,0
2018-09-01,A5519110301,France,21,21,37,0,0
2018-09-01,A5519110301,Canada,22,11,28,0,0
2018-09-01,A5519110301,Germany,23,22,44,0,0
2018-09-01,A5519110301,United Kingdom,25,21,47,0,0
2018-09-01,A5519110301,Spain,26,15,40,0,0
2018-09-01,A5519110301,Italy,23,15,37,0,0
2018-09-01,A5519110301,Portugal,23,20,43,0,0
2018-09-01,A5519110301,USA,21,15,25,0,0
2018-09-01,A5519110301,India,25,15,22,0,0
2018-09-01,A5419110208,China,22,19,41,0,0
2018-09-01,A5419110208,Indonesia,18,14,30,0,0
2018-09-01,A5419110208,South Korea,23,18,41,0,0
2018-09-01,A5419110208,Sweden,24,15,38,0,0
2018-09-01,A5419110208,Pakistan,21,11,32,0,0
2018-09-01,A5419110208,Bangladesh,25,16,40,0,0
2018-09-01,A5419110208,Philiphines,25,16,38,0,0
2018-09-01,A5419110208,Australia,26,12,37,0,0
2018-09-01,A5419110208,Newzealand,26,17,43,0,0
2018-09-01,A5419110208,Austria,26,15,41,0,0
2018-09-01,A5419110208,Poland,22,20,42,0,0
2018-09-01,A5419110208,Norway,27,18,46,0,0
2018-09-01,A5419110208,Netherlands,25,18,43,0,0
2018-09-01,A5419110208,Japan,23,18,41,0,0
2018-09-01,A5419110208,France,26,13,38,0,0
2018-09-01,A5419110208,Canada,22,19,39,0,0
2018-09-01,A5419110208,Germany,24,22,45,0,0
2018-09-01,A5419110208,United Kingdom,27,19,46,0,0
2018-09-01,A5419110208,Spain,29,17,46,0,0
2018-09-01,A5419110208,Italy,29,19,47,0,0
2018-09-01,A5419110208,Portugal,24,17,41,0,0
2018-09-01,A5419110208,USA,24,12,28,0,0
