ticket_id,date,customer_code,product_code,market,issue_category,sentiment,priority,ticket_text,resolution_time_hours
TKT000018,2020-11-01,90017050,A3220150402,Portugal,Positive,positive,Medium,The product is performing well and we are considering another order.,10.0
TKT000019,2018-10-01,90011186,A4218110205,France,Positive,positive,Medium,The product is performing well and we are considering another order.,5.5
TKT000020,2020-04-01,90017055,A6018110105,Portugal,Positive,positive,Medium,The product is performing well and we are considering another order.,7.6
TKT000021,2020-04-01,90003179,A2319150305,Indonesia,Product information,neutral,Low,Please provide more information about the product and available variants.,7.0
TKT000022,2020-06-01,90018106,A4419110405,Spain,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,9.1
TKT000023,2018-12-01,90023025,A1219150303,Canada,Quality,neutral,Medium,We need clarification about the product quality and warranty.,4.7
TKT000024,2018-12-01,90019202,A6018110105,Sweden,Quality,neutral,Medium,We need clarification about the product quality and warranty.,8.2
TKT000025,2020-04-01,90015150,A0621150307,Norway,Quality,neutral,Medium,We need clarification about the product quality and warranty.,7.7
TKT000026,2019-01-01,80001019,A2319150305,China,Positive,positive,Low,The product is performing well and we are considering another order.,13.2
TKT000027,2021-08-01,70014142,A6620160501,Netherlands,Delivery,negative,High,Delivery is taking longer than expected and this is affecting our purchase decision.,14.4
TKT000028,2020-05-01,90018114,A3421150605,Spain,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,8.5
TKT000029,2018-10-01,90008165,A0118150102,Australia,Quality,neutral,Low,We need clarification about the product quality and warranty.,1.5
TKT000030,2018-12-01,90014136,A4620110608,Netherlands,Product information,neutral,Medium,Please provide more information about the product and available variants.,4.4
TKT000031,2021-06-01,90022079,A2520150504,USA,Positive,positive,Low,The product is performing well and we are considering another order.,1.6
TKT000032,2020-02-01,70007198,A5318110101,South Korea,Quality,neutral,High,We need clarification about the product quality and warranty.,14.3
TKT000033,2018-12-01,90016176,A6620160502,Poland,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,4.0
TKT000034,2019-09-01,90020100,A5419110205,Austria,Product information,neutral,Medium,Please provide more information about the product and available variants.,3.3
TKT000035,2019-09-01,90001021,A3718150101,China,Quality,neutral,Low,We need clarification about the product quality and warranty.,1.1
TKT000036,2019-08-01,90015150,A5419110203,Norway,Positive,positive,Low,The product is performing well and we are considering another order.,12.3
TKT000037,2020-07-01,90012041,A3320150501,Germany,Product information,neutral,Low,Please provide more information about the product and available variants.,6.2
TKT000038,2020-03-01,90020101,A2419150401,Austria,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,4.2
TKT000039,2018-11-01,70017060,A1421150503,Portugal,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,8.2
TKT000040,2019-11-01,70018115,A2620150605,Spain,Quality,neutral,Medium,We need clarification about the product quality and warranty.,5.5
TKT000041,2020-12-01,70023031,A4419110406,Canada,Positive,positive,Medium,The product is performing well and we are considering another order.,4.2
TKT000042,2019-03-01,90004067,A2821150804,Japan,Product information,neutral,Low,Please provide more information about the product and available variants.,4.0
TKT000043,2018-10-01,90014135,A3320150506,Netherlands,Positive,positive,Medium,The product is performing well and we are considering another order.,0.6
TKT000044,2018-10-01,80001019,A4218110206,China,Positive,positive,High,The product is performing well and we are considering another order.,4.8
TKT000045,2019-01-01,70022085,A5621110408,USA,Product information,neutral,Medium,Please provide more information about the product and available variants.,7.4
TKT000046,2021-02-01,90013119,A4721110708,Italy,Product information,neutral,Low,Please provide more information about the product and available variants.,5.3
TKT000047,2020-08-01,90002008,A5419110201,India,Product information,neutral,High,Please provide more information about the product and available variants.,4.2
TKT000048,2020-03-01,90023030,A1919150403,Canada,Quality,neutral,Medium,We need clarification about the product quality and warranty.,4.3
TKT000049,2019-05-01,90015148,A4218110205,Norway,Quality,neutral,Medium,We need clarification about the product quality and warranty.,8.0
TKT000050,2021-06-01,90010044,A6018110101,Bangladesh,Positive,positive,Medium,The product is performing well and we are considering another order.,4.7
TKT000051,2020-10-01,90009127,A6218160101,Newzealand,Quality,neutral,Low,We need clarification about the product quality and warranty.,1.8
TKT000052,2020-04-01,90022082,A4419110408,USA,Positive,positive,Medium,The product is performing well and we are considering another order.,1.5
TKT000053,2020-11-01,90008165,A4419110406,Australia,Positive,positive,Low,The product is performing well and we are considering another order.,1.2
TKT000054,2021-03-01,70012043,A1320150402,Germany,Quality,neutral,Medium,We need clarification about the product quality and warranty.,4.6
TKT000055,2020-06-01,90020102,A2520150502,Austria,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,6.9
TKT000056,2020-01-01,70016177,A0219150201,Poland,Product information,neutral,Medium,Please provide more information about the product and available variants.,14.7
TKT000057,2019-03-01,80007195,A4520110508,South Korea,Quality,neutral,Low,We need clarification about the product quality and warranty.,3.0
TKT000058,2020-10-01,90020101,A4721110707,Austria,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,4.8
TKT000059,2019-11-01,90021092,A4720110702,United Kingdom,Positive,positive,Low,The product is performing well and we are considering another order.,10.7
TKT000060,2019-03-01,90021094,A3320150505,United Kingdom,Positive,positive,High,The product is performing well and we are considering another order.,4.6
TKT000061,2021-07-01,70005163,A4520110508,Pakistan,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,5.8
TKT000062,2018-12-01,90002014,A5520110308,India,Positive,positive,Low,The product is performing well and we are considering another order.,1.1
TKT000063,2020-06-01,90010044,A5721110502,Bangladesh,Positive,positive,Low,The product is performing well and we are considering another order.,2.4
TKT000064,2021-01-01,90010046,A2419150401,Bangladesh,Product information,neutral,Low,Please provide more information about the product and available variants.,5.4
TKT000065,2018-09-01,70003181,A0921150601,Indonesia,Product information,neutral,High,Please provide more information about the product and available variants.,4.1
TKT000066,2021-02-01,70017060,A0418150103,Portugal,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,3.4
TKT000067,2018-11-01,70006158,A6720160103,Philiphines,Quality,neutral,Medium,We need clarification about the product quality and warranty.,2.0
TKT000068,2019-05-01,90021095,A1618150101,United Kingdom,Product information,neutral,Low,Please provide more information about the product and available variants.,3.3
TKT000069,2020-05-01,70016178,A2219150205,Poland,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,6.5
TKT000070,2018-10-01,90009128,A3120150304,Newzealand,Product information,neutral,Low,Please provide more information about the product and available variants.,3.6
TKT000071,2020-11-01,90012040,A5519110302,Germany,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,3.7
TKT000072,2020-07-01,90004061,A2620150601,Japan,Product information,neutral,Low,Please provide more information about the product and available variants.,5.4
TKT000073,2020-12-01,70008170,A0721150401,Australia,Positive,positive,Low,The product is performing well and we are considering another order.,6.6
TKT000074,2018-11-01,90014136,A2620150601,Netherlands,Quality,neutral,Medium,We need clarification about the product quality and warranty.,6.8
TKT000075,2018-11-01,90008164,A3621150805,Australia,Product information,neutral,Low,Please provide more information about the product and available variants.,0.5
TKT000076,2019-10-01,90017057,A6719160101,Portugal,Product information,neutral,Medium,Please provide more information about the product and available variants.,6.1
TKT000077,2018-11-01,90017056,A3320150506,Portugal,Product information,neutral,Medium,Please provide more information about the product and available variants.,7.3
TKT000078,2021-08-01,90002016,A6218160102,India,Positive,positive,Medium,The product is performing well and we are considering another order.,16.6
TKT000079,2019-04-01,90009128,A5318110101,Newzealand,Positive,positive,High,The product is performing well and we are considering another order.,10.3
TKT000080,2019-08-01,90020100,A5520110307,Austria,Delivery,negative,High,Delivery is taking longer than expected and this is affecting our purchase decision.,4.2
TKT000081,2019-07-01,90004065,A1718150203,Japan,Positive,positive,Medium,The product is performing well and we are considering another order.,2.5
TKT000082,2018-09-01,90017050,A5621110407,Portugal,Positive,positive,High,The product is performing well and we are considering another order.,1.3
TKT000083,2020-07-01,90002015,A1018150103,India,Quality,neutral,Medium,We need clarification about the product quality and warranty.,11.4
TKT000084,2020-05-01,90020098,A3120150305,Austria,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,6.3
TKT000085,2021-05-01,90004066,A5721110507,Japan,Product information,neutral,Low,Please provide more information about the product and available variants.,1.8
TKT000086,2019-08-01,80007195,A2419150405,South Korea,Product information,neutral,Low,Please provide more information about the product and available variants.,6.9
TKT000087,2020-05-01,90006156,A2918150101,Philiphines,Positive,positive,Low,The product is performing well and we are considering another order.,12.5
TKT000088,2020-08-01,90022080,A4021150403,USA,Positive,positive,Low,The product is performing well and we are considering another order.,4.8
TKT000089,2020-06-01,80007196,A6319160201,South Korea,Positive,positive,Low,The product is performing well and we are considering another order.,6.3
TKT000090,2018-10-01,70010047,A2721150702,Bangladesh,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,5.3
TKT000091,2020-04-01,90009127,A2118150104,Newzealand,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,2.2
TKT000092,2021-02-01,70006158,A3320150501,Philiphines,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,10.2
TKT000093,2020-11-01,70007199,A5318110108,South Korea,Quality,neutral,Medium,We need clarification about the product quality and warranty.,0.6
TKT000094,2020-09-01,90002001,A4419110404,India,Product information,neutral,Low,Please provide more information about the product and available variants.,1.5
TKT000095,2019-04-01,90002005,A0921150603,India,Product information,neutral,Medium,Please provide more information about the product and available variants.,10.6
TKT000096,2020-04-01,70022084,A4319110302,USA,Positive,positive,Low,The product is performing well and we are considering another order.,2.3
TKT000097,2020-04-01,90016171,A2821150804,Poland,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,7.7
TKT000098,2019-09-01,90011187,A5721110504,France,Product information,neutral,Medium,Please provide more information about the product and available variants.,5.5
TKT000099,2019-09-01,70016177,A4721110707,Poland,Quality,neutral,Low,We need clarification about the product quality and warranty.,5.7
TKT000100,2020-04-01,90005162,A2419150401,Pakistan,Quality,neutral,Medium,We need clarification about the product quality and warranty.,6.4
TKT000101,2020-11-01,70005163,A1919150401,Pakistan,Product information,neutral,Low,Please provide more information about the product and available variants.,6.5
TKT000102,2019-07-01,90017053,A0519150207,Portugal,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,16.6
TKT000103,2021-03-01,90007197,A6218160102,South Korea,Positive,positive,Medium,The product is performing well and we are considering another order.,6.5
TKT000104,2019-05-01,90017053,A4218110201,Portugal,Product information,neutral,Medium,Please provide more information about the product and available variants.,2.9
TKT000105,2019-07-01,90017049,A2821150801,Portugal,Product information,neutral,Low,Please provide more information about the product and available variants.,0.6
TKT000106,2020-03-01,90020101,A2520150506,Austria,Positive,positive,Low,The product is performing well and we are considering another order.,2.7
TKT000107,2021-04-01,90019201,A3920150305,Sweden,Product information,neutral,Medium,Please provide more information about the product and available variants.,1.0
TKT000108,2021-07-01,90002014,A5318110105,India,Product information,neutral,Medium,Please provide more information about the product and available variants.,3.5
TKT000109,2018-12-01,70014143,A5621110404,Netherlands,Quality,neutral,Low,We need clarification about the product quality and warranty.,10.4
TKT000110,2020-11-01,90020100,A3220150401,Austria,Positive,positive,Low,The product is performing well and we are considering another order.,12.7
TKT000111,2018-10-01,70008170,A4620110605,Australia,Positive,positive,Medium,The product is performing well and we are considering another order.,5.8
TKT000112,2018-09-01,70015151,A4218110206,Norway,Product information,neutral,Low,Please provide more information about the product and available variants.,7.5
TKT000113,2019-01-01,90012041,A3521150706,Germany,Quality,neutral,High,We need clarification about the product quality and warranty.,3.0
TKT000114,2018-09-01,90020098,A6018110103,Austria,Product information,neutral,Low,Please provide more information about the product and available variants.,9.3
TKT000115,2020-03-01,90013120,A7019160401,Italy,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,1.1
TKT000116,2018-09-01,90005160,A0219150202,Pakistan,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,9.5
TKT000117,2020-01-01,70016177,A2020150501,Poland,Quality,neutral,Low,We need clarification about the product quality and warranty.,4.2
TKT000118,2020-02-01,90010044,A2219150204,Bangladesh,Quality,neutral,Medium,We need clarification about the product quality and warranty.,5.1
TKT000119,2021-01-01,90012035,A6419160302,Germany,Quality,neutral,Low,We need clarification about the product quality and warranty.,6.3
TKT000120,2021-02-01,70012042,A6018110105,Germany,Positive,positive,Medium,The product is performing well and we are considering another order.,7.8
TKT000121,2021-05-01,90009129,A4620110608,Newzealand,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,12.1
TKT000122,2019-09-01,70005163,A0220150203,Pakistan,Quality,neutral,Medium,We need clarification about the product quality and warranty.,2.1
TKT000123,2018-09-01,90019200,A5419110204,Sweden,Positive,positive,Low,The product is performing well and we are considering another order.,11.9
TKT000124,2020-05-01,90021086,A6218160101,United Kingdom,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,9.1
TKT000125,2018-09-01,90017050,A0321150303,Portugal,Quality,neutral,Low,We need clarification about the product quality and warranty.,1.9
TKT000126,2021-07-01,70015151,A4620110601,Norway,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,2.8
TKT000127,2020-04-01,70014143,A5318110103,Netherlands,Positive,positive,Low,The product is performing well and we are considering another order.,7.8
TKT000128,2020-09-01,90004067,A4620110606,Japan,Positive,positive,Low,The product is performing well and we are considering another order.,2.0
TKT000129,2021-03-01,90002003,A5721110501,India,Positive,positive,Medium,The product is performing well and we are considering another order.,8.7
TKT000130,2020-06-01,90004065,A6018110105,Japan,Positive,positive,Medium,The product is performing well and we are considering another order.,7.6
TKT000131,2019-07-01,90019201,A1319150401,Sweden,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,2.1
TKT000132,2021-03-01,90018114,A0118150101,Spain,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,8.3
TKT000133,2020-02-01,90017059,A5419110207,Portugal,Positive,positive,Low,The product is performing well and we are considering another order.,3.2
TKT000134,2021-02-01,90020099,A4821110806,Austria,Quality,neutral,Medium,We need clarification about the product quality and warranty.,9.4
TKT000135,2019-09-01,90023026,A5318110104,Canada,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,5.8
TKT000136,2021-01-01,90017053,A0118150104,Portugal,Product information,neutral,Medium,Please provide more information about the product and available variants.,4.6
TKT000137,2019-04-01,90004064,A6119110202,Japan,Positive,positive,Low,The product is performing well and we are considering another order.,7.7
TKT000138,2018-12-01,70006158,A1819150303,Philiphines,Quality,neutral,Medium,We need clarification about the product quality and warranty.,1.1
TKT000139,2021-04-01,90021087,A4419110402,United Kingdom,Product information,neutral,Medium,Please provide more information about the product and available variants.,4.8
TKT000140,2020-04-01,90017050,A1219150301,Portugal,Positive,positive,Low,The product is performing well and we are considering another order.,5.6
TKT000141,2021-07-01,90012035,A5520110308,Germany,Positive,positive,Low,The product is performing well and we are considering another order.,9.1
TKT000142,2020-06-01,90023027,A0821150503,Canada,Quality,neutral,High,We need clarification about the product quality and warranty.,8.6
TKT000143,2019-05-01,90011185,A0118150101,France,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,6.7
TKT000144,2019-03-01,90021090,A3220150405,United Kingdom,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,11.1
TKT000145,2020-04-01,70004069,A4318110301,Japan,Positive,positive,Medium,The product is performing well and we are considering another order.,7.8
TKT000146,2020-09-01,70010048,A1718150204,Bangladesh,Positive,positive,Low,The product is performing well and we are considering another order.,7.8
TKT000147,2019-02-01,90008168,A0921150604,Australia,Positive,positive,Low,The product is performing well and we are considering another order.,7.0
TKT000148,2019-01-01,70006157,A1319150401,Philiphines,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,4.4
TKT000149,2021-01-01,80006155,A0821150504,Philiphines,Positive,positive,Medium,The product is performing well and we are considering another order.,4.8
TKT000150,2019-05-01,90004066,A3421150606,Japan,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,7.6
TKT000151,2020-03-01,90020101,A4218110202,Austria,Positive,positive,Medium,The product is performing well and we are considering another order.,2.0
TKT000152,2020-01-01,90013121,A4519110501,Italy,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,7.6
TKT000153,2020-07-01,90022075,A2219150205,USA,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,0.8
TKT000154,2020-12-01,70003181,A5621110404,Indonesia,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,8.3
TKT000155,2019-09-01,70022084,A6018110102,USA,Product information,neutral,Low,Please provide more information about the product and available variants.,4.8
TKT000156,2019-05-01,90023026,A0721150404,Canada,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,18.7
TKT000157,2021-04-01,90017049,A4319110306,Portugal,Quality,neutral,Low,We need clarification about the product quality and warranty.,12.4
TKT000158,2021-01-01,90019201,A5721110507,Sweden,Quality,neutral,Low,We need clarification about the product quality and warranty.,1.1
TKT000159,2019-12-01,90008167,A7220160202,Australia,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,8.3
TKT000160,2020-05-01,90015148,A4721110708,Norway,Product information,neutral,Low,Please provide more information about the product and available variants.,5.7
TKT000161,2019-09-01,90008168,A3018150201,Australia,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,2.3
TKT000162,2021-08-01,90012037,A2918150104,Germany,Quality,neutral,Low,We need clarification about the product quality and warranty.,13.3
TKT000163,2020-04-01,70003181,A4721110708,Indonesia,Positive,positive,High,The product is performing well and we are considering another order.,7.1
TKT000164,2020-02-01,90004063,A0621150308,Japan,Quality,neutral,High,We need clarification about the product quality and warranty.,4.9
TKT000165,2019-11-01,90020101,A4620110601,Austria,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,4.1
TKT000166,2020-10-01,90012033,A6120110205,Germany,Positive,positive,Medium,The product is performing well and we are considering another order.,3.4
TKT000167,2020-10-01,90018107,A1718150204,Spain,Product information,neutral,Low,Please provide more information about the product and available variants.,1.2
TKT000168,2020-03-01,90023025,A3819150203,Canada,Quality,neutral,Low,We need clarification about the product quality and warranty.,5.0
TKT000169,2020-12-01,70017060,A5620110401,Portugal,Product information,neutral,Low,Please provide more information about the product and available variants.,3.6
TKT000170,2018-09-01,90018113,A2118150102,Spain,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,1.2
TKT000171,2019-12-01,90002003,A2721150705,India,Quality,neutral,Medium,We need clarification about the product quality and warranty.,11.8
TKT000172,2021-06-01,70010048,A5621110403,Bangladesh,Positive,positive,High,The product is performing well and we are considering another order.,7.3
TKT000173,2020-02-01,90017053,A3819150205,Portugal,Product information,neutral,Medium,Please provide more information about the product and available variants.,8.9
TKT000174,2021-01-01,90023027,A1219150303,Canada,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,4.0
TKT000175,2021-05-01,70006158,A7019160401,Philiphines,Positive,positive,Medium,The product is performing well and we are considering another order.,6.1
TKT000176,2018-10-01,90001020,A2821150804,China,Quality,neutral,Low,We need clarification about the product quality and warranty.,4.6
TKT000177,2019-02-01,90008168,A2219150206,Australia,Quality,neutral,Low,We need clarification about the product quality and warranty.,1.5
TKT000178,2021-05-01,90022071,A1819150304,USA,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,6.8
TKT000179,2021-05-01,90008166,A4319110305,Australia,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,8.2
TKT000180,2020-08-01,90014135,A3421150606,Netherlands,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,2.8
TKT000181,2020-09-01,90005160,A4620110606,Pakistan,Positive,positive,Low,The product is performing well and we are considering another order.,8.0
TKT000182,2019-02-01,90013124,A6018110105,Italy,Positive,positive,Low,The product is performing well and we are considering another order.,2.8
TKT000183,2019-02-01,70010048,A5621110407,Bangladesh,Positive,positive,Medium,The product is performing well and we are considering another order.,10.6
TKT000184,2019-11-01,90023026,A4218110206,Canada,Quality,neutral,Low,We need clarification about the product quality and warranty.,7.1
TKT000185,2019-04-01,70023031,A7119160103,Canada,Product information,neutral,High,Please provide more information about the product and available variants.,1.1
TKT000186,2018-12-01,70007198,A5519110301,South Korea,Quality,neutral,Medium,We need clarification about the product quality and warranty.,6.6
TKT000187,2020-04-01,70007198,A0418150102,South Korea,Quality,neutral,Medium,We need clarification about the product quality and warranty.,11.6
TKT000188,2020-12-01,70022084,A3220150404,USA,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,5.3
TKT000189,2020-11-01,90016175,A4519110502,Poland,Product information,neutral,Low,Please provide more information about the product and available variants.,3.7
TKT000190,2019-08-01,70005163,A5721110501,Pakistan,Positive,positive,Medium,The product is performing well and we are considering another order.,2.6
TKT000191,2019-03-01,70003182,A4118110105,Indonesia,Positive,positive,Medium,The product is performing well and we are considering another order.,17.8
TKT000192,2021-07-01,90004064,A2420150406,Japan,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,8.8
TKT000193,2020-07-01,90016171,A0519150207,Poland,Product information,neutral,Low,Please provide more information about the product and available variants.,1.6
TKT000194,2019-12-01,90016175,A4021150405,Poland,Quality,neutral,Low,We need clarification about the product quality and warranty.,4.2
TKT000195,2019-09-01,70022085,A3220150405,USA,Quality,neutral,Low,We need clarification about the product quality and warranty.,3.9
TKT000196,2021-04-01,90001021,A1618150104,China,Product information,neutral,Medium,Please provide more information about the product and available variants.,5.8
TKT000197,2020-03-01,90021095,A5318110107,United Kingdom,Positive,positive,Low,The product is performing well and we are considering another order.,3.7
TKT000198,2019-09-01,90018109,A4620110606,Spain,Quality,neutral,Medium,We need clarification about the product quality and warranty.,0.6
TKT000199,2020-12-01,90003180,A3220150404,Indonesia,Quality,neutral,Low,We need clarification about the product quality and warranty.,10.9
TKT000200,2019-05-01,90014141,A2319150301,Netherlands,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,3.2
TKT000201,2019-10-01,90001020,A3920150303,China,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,15.3
TKT000202,2019-02-01,90016173,A6519160401,Poland,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,5.8
TKT000203,2019-03-01,70007198,A1018150103,South Korea,Quality,neutral,Low,We need clarification about the product quality and warranty.,15.0
TKT000204,2021-02-01,90014136,A1119150203,Netherlands,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,6.3
TKT000205,2019-05-01,90018112,A0619150301,Spain,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,3.8
TKT000206,2019-09-01,90005162,A4720110701,Pakistan,Positive,positive,Low,The product is performing well and we are considering another order.,15.8
TKT000207,2020-05-01,70007199,A4721110707,South Korea,Quality,neutral,Low,We need clarification about the product quality and warranty.,16.5
TKT000208,2020-03-01,90011185,A4419110406,France,Product information,neutral,Medium,Please provide more information about the product and available variants.,11.3
TKT000209,2021-05-01,70010048,A2319150305,Bangladesh,Product information,neutral,Medium,Please provide more information about the product and available variants.,3.4
TKT000210,2020-12-01,90005162,A4721110707,Pakistan,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,3.3
TKT000211,2021-06-01,90016175,A2918150101,Poland,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,12.6
TKT000212,2018-10-01,70011194,A3320150501,France,Quality,neutral,Low,We need clarification about the product quality and warranty.,3.7
TKT000213,2019-02-01,90004061,A4821110806,Japan,Quality,neutral,High,We need clarification about the product quality and warranty.,8.1
TKT000214,2020-08-01,90010046,A1618150103,Bangladesh,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,1.9
TKT000215,2021-05-01,90018110,A6520160403,Spain,Product information,neutral,Medium,Please provide more information about the product and available variants.,3.1
TKT000216,2021-07-01,90004064,A1919150403,Japan,Positive,positive,Low,The product is performing well and we are considering another order.,1.6
TKT000217,2020-06-01,70002018,A0418150101,India,Quality,neutral,Low,We need clarification about the product quality and warranty.,10.2
TKT000218,2019-06-01,90014136,A7020160403,Netherlands,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,5.0
TKT000219,2019-09-01,90008166,A4821110806,Australia,Quality,neutral,Low,We need clarification about the product quality and warranty.,4.4
TKT000220,2020-04-01,90012040,A2918150101,Germany,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,1.0
TKT000221,2019-12-01,90004066,A3920150305,Japan,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,3.8
TKT000222,2019-12-01,70006158,A2721150706,Philiphines,Positive,positive,High,The product is performing well and we are considering another order.,2.5
TKT000223,2020-09-01,90014136,A2219150204,Netherlands,Product information,neutral,Medium,Please provide more information about the product and available variants.,5.9
TKT000224,2019-12-01,90016173,A0721150404,Poland,Product information,neutral,Medium,Please provide more information about the product and available variants.,12.2
TKT000225,2019-08-01,90013119,A3120150305,Italy,Delivery,negative,Low,Delivery is taking longer than expected and this is affecting our purchase decision.,6.9
TKT000226,2019-10-01,90004064,A4620110608,Japan,Product information,neutral,Medium,Please provide more information about the product and available variants.,4.7
TKT000227,2021-05-01,70018115,A5621110407,Spain,Delivery,negative,Medium,Delivery is taking longer than expected and this is affecting our purchase decision.,1.9
TKT000228,2020-01-01,90016174,A6419160301,Poland,Positive,positive,High,The product is performing well and we are considering another order.,12.3
