note_id,date,customer_code,product_code,market,sales_rep,note_text,deal_stage,competitor_mentioned
CRM000034,2018-11-01,90007197,A0621150308,South Korea,Rep-05,Customer mentioned a competitor's promotional pricing.,Prospecting,1
CRM000035,2019-12-01,90013117,A6018110103,Italy,Rep-16,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
CRM000036,2019-01-01,90018110,A4821110802,Spain,Rep-12,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000037,2018-09-01,90020101,A4821110802,Austria,Rep-02,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000038,2020-05-01,90017055,A5318110104,Portugal,Rep-30,Customer raised concerns about product availability and delayed delivery.,Proposal,0
CRM000039,2019-08-01,90015149,A1018150103,Norway,Rep-26,Customer asked for more information about the premium variant.,Proposal,0
CRM000040,2019-01-01,90014141,A3220150402,Netherlands,Rep-30,Customer requested a better commercial offer before renewing the purchase.,Proposal,0
CRM000041,2020-01-01,90012039,A2721150702,Germany,Rep-19,Customer mentioned a competitor's promotional pricing.,Negotiation,1
CRM000042,2018-10-01,90011188,A4419110407,France,Rep-10,Customer asked for more information about the premium variant.,Qualified,0
CRM000043,2021-04-01,90008164,A4520110508,Australia,Rep-07,Customer asked for more information about the premium variant.,Proposal,0
CRM000044,2018-09-01,90013120,A4218110205,Italy,Rep-30,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000045,2021-05-01,90023030,A3019150206,Canada,Rep-17,Customer requested a better commercial offer before renewing the purchase.,Prospecting,0
CRM000046,2019-11-01,90023023,A1618150104,Canada,Rep-08,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000047,2019-06-01,90007197,A5721110502,South Korea,Rep-28,Customer raised concerns about product availability and delayed delivery.,Prospecting,0
CRM000048,2019-05-01,70013125,A4821110806,Italy,Rep-14,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000049,2019-06-01,90001020,A4721110705,China,Rep-03,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000050,2019-02-01,80006154,A3220150405,Philiphines,Rep-28,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000051,2020-10-01,90002010,A0321150303,India,Rep-07,Customer asked for more information about the premium variant.,Proposal,0
CRM000052,2019-09-01,90008165,A4319110304,Australia,Rep-09,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000053,2019-07-01,90022077,A3621150802,USA,Rep-14,Customer is satisfied with the product and is considering expanding the order.,Proposal,0
CRM000054,2020-06-01,70006157,A4419110407,Philiphines,Rep-08,Customer is considering a competitor because our price is higher.,Renewal,1
CRM000055,2021-05-01,90019201,A7018160402,Sweden,Rep-13,Customer is satisfied with the product and is considering expanding the order.,Negotiation,0
CRM000056,2018-11-01,90010045,A5621110407,Bangladesh,Rep-24,Customer is considering a competitor because our price is higher.,Renewal,1
CRM000057,2019-07-01,90010045,A3320150501,Bangladesh,Rep-11,Customer is satisfied with the product and is considering expanding the order.,Renewal,0
CRM000058,2021-02-01,90018109,A5520110305,Spain,Rep-20,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000059,2021-06-01,90014141,A5519110303,Netherlands,Rep-21,Customer requested a better commercial offer before renewing the purchase.,Negotiation,0
CRM000060,2021-05-01,90015149,A4721110708,Norway,Rep-10,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
CRM000061,2021-08-01,70015152,A3320150502,Norway,Rep-13,Customer asked for more information about the premium variant.,Proposal,0
CRM000062,2019-08-01,90020100,A5419110203,Austria,Rep-26,Customer asked for more information about the premium variant.,Negotiation,0
CRM000063,2018-12-01,90014136,A4118110104,Netherlands,Rep-23,Customer requested a better commercial offer before renewing the purchase.,Renewal,0
CRM000064,2019-09-01,70020104,A3819150205,Austria,Rep-10,Customer mentioned a competitor's promotional pricing.,Renewal,1
CRM000065,2019-02-01,90003180,A6018110105,Indonesia,Rep-05,Customer mentioned a competitor's promotional pricing.,Negotiation,1
CRM000066,2019-05-01,90014141,A2118150105,Netherlands,Rep-01,Customer mentioned a competitor's promotional pricing.,Negotiation,1
CRM000067,2019-02-01,70005163,A4118110101,Pakistan,Rep-11,Customer asked for more information about the premium variant.,Prospecting,0
CRM000068,2021-05-01,90023024,A2319150306,Canada,Rep-18,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000069,2020-05-01,90009128,A0418150101,Newzealand,Rep-12,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000070,2018-10-01,90013124,A4721110705,Italy,Rep-04,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000071,2019-11-01,70018115,A1521150601,Spain,Rep-13,Customer asked for more information about the premium variant.,Qualified,0
CRM000072,2020-06-01,90015150,A6621160503,Norway,Rep-08,Customer requested a better commercial offer before renewing the purchase.,Negotiation,0
CRM000073,2019-05-01,70021096,A0519150201,United Kingdom,Rep-28,Customer is satisfied with the product and is considering expanding the order.,Proposal,0
CRM000074,2021-08-01,90022081,A2219150205,USA,Rep-01,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000075,2019-04-01,90019201,A3119150301,Sweden,Rep-17,Customer raised concerns about product availability and delayed delivery.,Prospecting,0
CRM000076,2020-10-01,90012040,A0921150601,Germany,Rep-24,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
CRM000077,2019-12-01,90011185,A5721110505,France,Rep-26,Customer asked for more information about the premium variant.,Proposal,0
CRM000078,2019-07-01,90002007,A4620110602,India,Rep-05,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000079,2020-06-01,90021086,A0220150203,United Kingdom,Rep-05,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000080,2021-01-01,90012041,A6018110101,Germany,Rep-03,Customer asked for more information about the premium variant.,Qualified,0
CRM000081,2019-05-01,90011186,A2319150305,France,Rep-16,Customer is considering a competitor because our price is higher.,Qualified,1
CRM000082,2020-03-01,90007197,A1521150603,South Korea,Rep-14,Customer raised concerns about product availability and delayed delivery.,Renewal,0
CRM000083,2021-01-01,90003180,A0519150202,Indonesia,Rep-26,Customer mentioned a competitor's promotional pricing.,Prospecting,1
CRM000084,2019-04-01,90017051,A5318110101,Portugal,Rep-17,Customer mentioned a competitor's promotional pricing.,Qualified,1
CRM000085,2020-07-01,90014141,A4620110608,Netherlands,Rep-24,Customer mentioned a competitor's promotional pricing.,Qualified,1
CRM000086,2021-02-01,90012040,A6018110103,Germany,Rep-19,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000087,2021-07-01,90005159,A2520150505,Pakistan,Rep-14,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000088,2019-02-01,90023025,A3718150101,Canada,Rep-21,Customer requested a better commercial offer before renewing the purchase.,Proposal,0
CRM000089,2019-11-01,90023029,A4218110207,Canada,Rep-28,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000090,2019-08-01,90022079,A3521150706,USA,Rep-06,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000091,2019-03-01,90009129,A5621110404,Newzealand,Rep-24,Customer is satisfied with the product and is considering expanding the order.,Negotiation,0
CRM000092,2020-07-01,70012042,A4620110605,Germany,Rep-12,Customer asked for more information about the premium variant.,Proposal,0
CRM000093,2019-12-01,90009132,A3119150301,Newzealand,Rep-03,Customer asked for more information about the premium variant.,Renewal,0
CRM000094,2020-11-01,70013126,A4218110202,Italy,Rep-26,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000095,2020-03-01,90009127,A4419110406,Newzealand,Rep-25,Customer asked for more information about the premium variant.,Proposal,0
CRM000096,2020-02-01,90011187,A3019150205,France,Rep-25,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000097,2021-07-01,90012034,A4218110205,Germany,Rep-07,Customer is considering a competitor because our price is higher.,Renewal,1
CRM000098,2021-05-01,90011191,A5721110507,France,Rep-04,Customer asked for more information about the premium variant.,Proposal,0
CRM000099,2020-12-01,90006153,A4821110808,Philiphines,Rep-02,Customer requested a better commercial offer before renewing the purchase.,Negotiation,0
CRM000100,2020-01-01,90017053,A4118110102,Portugal,Rep-29,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000101,2019-05-01,90015148,A0321150302,Norway,Rep-23,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000102,2020-10-01,90019201,A4118110102,Sweden,Rep-14,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
CRM000103,2019-10-01,70016177,A1018150103,Poland,Rep-14,Customer is satisfied with the product and is considering expanding the order.,Proposal,0
CRM000104,2020-08-01,90001020,A1119150203,China,Rep-21,Customer is satisfied with the product and is considering expanding the order.,Negotiation,0
CRM000105,2020-06-01,90021094,A0621150307,United Kingdom,Rep-05,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000106,2020-09-01,90012038,A4721110706,Germany,Rep-08,Customer asked for more information about the premium variant.,Renewal,0
CRM000107,2020-05-01,90012034,A7321160303,Germany,Rep-22,Customer requested a better commercial offer before renewing the purchase.,Proposal,0
CRM000108,2021-02-01,90011187,A0418150107,France,Rep-13,Customer mentioned a competitor's promotional pricing.,Renewal,1
CRM000109,2019-12-01,90022081,A6319160203,USA,Rep-06,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
CRM000110,2019-04-01,90005161,A3621150805,Pakistan,Rep-03,Customer requested a better commercial offer before renewing the purchase.,Qualified,0
CRM000111,2020-12-01,90009127,A5419110205,Newzealand,Rep-16,Customer mentioned a competitor's promotional pricing.,Negotiation,1
CRM000112,2019-03-01,90023026,A3819150205,Canada,Rep-15,Customer raised concerns about product availability and delayed delivery.,Renewal,0
CRM000113,2018-11-01,90005159,A4821110801,Pakistan,Rep-18,Customer asked for more information about the premium variant.,Qualified,0
CRM000114,2020-06-01,70015152,A4520110508,Norway,Rep-24,Customer asked for more information about the premium variant.,Qualified,0
CRM000115,2018-10-01,90011186,A3320150502,France,Rep-30,Customer is satisfied with the product and is considering expanding the order.,Prospecting,0
CRM000116,2019-08-01,90008165,A6319160203,Australia,Rep-06,Customer asked for more information about the premium variant.,Negotiation,0
CRM000117,2020-06-01,90008165,A6620160501,Australia,Rep-17,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000118,2021-02-01,70017060,A6219160103,Portugal,Rep-19,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000119,2019-08-01,90023025,A0519150208,Canada,Rep-08,Customer is considering a competitor because our price is higher.,Qualified,1
CRM000120,2018-09-01,90017049,A7220160203,Portugal,Rep-01,Customer requested a better commercial offer before renewing the purchase.,Qualified,0
CRM000121,2020-05-01,90021087,A4318110301,United Kingdom,Rep-20,Customer asked for more information about the premium variant.,Negotiation,0
CRM000122,2021-01-01,90023027,A3019150206,Canada,Rep-18,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000123,2019-05-01,90023027,A5519110304,Canada,Rep-13,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000124,2019-05-01,90018109,A1319150401,Spain,Rep-25,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000125,2018-09-01,90001020,A5520110307,China,Rep-26,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000126,2019-04-01,90019202,A4721110705,Sweden,Rep-25,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000127,2019-10-01,80007195,A5318110105,South Korea,Rep-05,Customer is considering a competitor because our price is higher.,Qualified,1
CRM000128,2020-03-01,90014136,A3521150706,Netherlands,Rep-30,Customer is satisfied with the product and is considering expanding the order.,Prospecting,0
CRM000129,2019-02-01,70010047,A6719160101,Bangladesh,Rep-20,Customer is satisfied with the product and is considering expanding the order.,Proposal,0
CRM000130,2021-03-01,90013124,A7321160301,Italy,Rep-30,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000131,2020-10-01,70004069,A4021150405,Japan,Rep-06,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
CRM000132,2019-04-01,90017056,A5318110104,Portugal,Rep-24,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000133,2020-06-01,70004069,A3920150303,Japan,Rep-01,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000134,2020-06-01,80007195,A4721110706,South Korea,Rep-04,Customer requested a better commercial offer before renewing the purchase.,Qualified,0
CRM000135,2019-06-01,90012041,A4419110405,Germany,Rep-02,Customer is satisfied with the product and is considering expanding the order.,Proposal,0
CRM000136,2021-02-01,90022083,A2419150402,USA,Rep-19,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000137,2019-05-01,70004070,A2118150102,Japan,Rep-04,Customer requested a better commercial offer before renewing the purchase.,Renewal,0
CRM000138,2019-10-01,90016176,A0418150102,Poland,Rep-22,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000139,2021-06-01,70009134,A5721110501,Newzealand,Rep-27,Customer mentioned a competitor's promotional pricing.,Negotiation,1
CRM000140,2019-11-01,80006154,A3220150405,Philiphines,Rep-13,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000141,2020-08-01,90018108,A1219150302,Spain,Rep-21,Customer requested a better commercial offer before renewing the purchase.,Prospecting,0
CRM000142,2021-01-01,90008168,A4319110302,Australia,Rep-29,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000143,2019-12-01,70007199,A1320150402,South Korea,Rep-13,Customer requested a better commercial offer before renewing the purchase.,Negotiation,0
CRM000144,2019-08-01,70004069,A3420150601,Japan,Rep-07,Customer mentioned a competitor's promotional pricing.,Negotiation,1
CRM000145,2019-06-01,90013120,A4519110501,Italy,Rep-12,Customer is considering a competitor because our price is higher.,Renewal,1
CRM000146,2019-07-01,70014142,A3320150501,Netherlands,Rep-11,Customer mentioned a competitor's promotional pricing.,Prospecting,1
CRM000147,2019-02-01,90020101,A4721110704,Austria,Rep-12,Customer is satisfied with the product and is considering expanding the order.,Negotiation,0
CRM000148,2019-09-01,90017059,A3920150301,Portugal,Rep-12,Customer requested a better commercial offer before renewing the purchase.,Proposal,0
CRM000149,2020-12-01,80001019,A0320150301,China,Rep-29,Customer requested a better commercial offer before renewing the purchase.,Renewal,0
CRM000150,2020-03-01,90013122,A6019110107,Italy,Rep-01,Customer requested a better commercial offer before renewing the purchase.,Qualified,0
CRM000151,2020-06-01,90009127,A5721110507,Newzealand,Rep-07,Customer mentioned a competitor's promotional pricing.,Qualified,1
CRM000152,2020-11-01,90013117,A6119110201,Italy,Rep-27,Customer requested a better commercial offer before renewing the purchase.,Renewal,0
CRM000153,2018-09-01,90019200,A0418150108,Sweden,Rep-16,Customer asked for more information about the premium variant.,Qualified,0
CRM000154,2021-08-01,90020101,A2118150106,Austria,Rep-28,Customer is considering a competitor because our price is higher.,Qualified,1
CRM000155,2021-01-01,90017056,A1018150102,Portugal,Rep-02,Customer asked for more information about the premium variant.,Proposal,0
CRM000156,2020-05-01,90004067,A5318110101,Japan,Rep-03,Customer raised concerns about product availability and delayed delivery.,Proposal,0
CRM000157,2019-06-01,70004070,A0519150207,Japan,Rep-27,Customer raised concerns about product availability and delayed delivery.,Renewal,0
CRM000158,2021-08-01,70014143,A6018110102,Netherlands,Rep-08,Customer is considering a competitor because our price is higher.,Renewal,1
CRM000159,2019-06-01,90016175,A6819160203,Poland,Rep-17,Customer asked for more information about the premium variant.,Proposal,0
CRM000160,2019-07-01,90009129,A4118110105,Newzealand,Rep-19,Customer raised concerns about product availability and delayed delivery.,Renewal,0
CRM000161,2020-02-01,90008165,A6718160102,Australia,Rep-04,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
CRM000162,2019-08-01,90009128,A1920150404,Newzealand,Rep-04,Customer requested a better commercial offer before renewing the purchase.,Qualified,0
CRM000163,2020-12-01,90019200,A6119110203,Sweden,Rep-21,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000164,2019-01-01,70004069,A2319150306,Japan,Rep-27,Customer requested a better commercial offer before renewing the purchase.,Negotiation,0
CRM000165,2021-03-01,90006153,A4721110706,Philiphines,Rep-06,Customer is considering a competitor because our price is higher.,Negotiation,1
CRM000166,2021-04-01,70009133,A6219160103,Newzealand,Rep-22,Customer mentioned a competitor's promotional pricing.,Prospecting,1
CRM000167,2021-01-01,90012035,A7321160303,Germany,Rep-17,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000168,2020-09-01,90021087,A3521150701,United Kingdom,Rep-20,Customer mentioned a competitor's promotional pricing.,Qualified,1
CRM000169,2020-11-01,90023023,A4620110607,Canada,Rep-18,Customer asked for more information about the premium variant.,Prospecting,0
CRM000170,2020-11-01,90003179,A6018110105,Indonesia,Rep-09,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000171,2019-04-01,90018112,A3220150401,Spain,Rep-05,Customer is satisfied with the product and is considering expanding the order.,Renewal,0
CRM000172,2019-03-01,90013119,A4520110506,Italy,Rep-27,Customer mentioned a competitor's promotional pricing.,Negotiation,1
CRM000173,2019-03-01,90012035,A3521150701,Germany,Rep-16,Customer asked for more information about the premium variant.,Proposal,0
CRM000174,2019-10-01,90011188,A1118150201,France,Rep-25,Customer requested a better commercial offer before renewing the purchase.,Qualified,0
CRM000175,2021-04-01,90023025,A4821110806,Canada,Rep-02,Customer is considering a competitor because our price is higher.,Renewal,1
CRM000176,2020-05-01,90005161,A2821150806,Pakistan,Rep-17,Customer requested a better commercial offer before renewing the purchase.,Proposal,0
CRM000177,2021-01-01,90001020,A3119150301,China,Rep-25,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000178,2019-11-01,70014143,A1718150203,Netherlands,Rep-11,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
CRM000179,2018-10-01,90009128,A3521150705,Newzealand,Rep-26,Customer is satisfied with the product and is considering expanding the order.,Proposal,0
CRM000180,2021-02-01,90002006,A0118150102,India,Rep-26,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000181,2020-10-01,90019201,A6018110102,Sweden,Rep-27,Customer mentioned a competitor's promotional pricing.,Qualified,1
CRM000182,2021-03-01,90023027,A7119160102,Canada,Rep-05,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000183,2019-11-01,80006155,A1521150602,Philiphines,Rep-27,Customer asked for more information about the premium variant.,Proposal,0
CRM000184,2020-08-01,90021087,A5721110507,United Kingdom,Rep-27,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000185,2018-10-01,90008166,A2218150202,Australia,Rep-03,Customer requested a better commercial offer before renewing the purchase.,Qualified,0
CRM000186,2019-05-01,90013119,A4118110107,Italy,Rep-06,Customer is considering a competitor because our price is higher.,Qualified,1
CRM000187,2021-05-01,90006156,A3420150601,Philiphines,Rep-17,Customer raised concerns about product availability and delayed delivery.,Renewal,0
CRM000188,2020-06-01,70016177,A4218110205,Poland,Rep-22,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000189,2019-04-01,90017057,A3718150103,Portugal,Rep-10,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000190,2019-06-01,90018112,A0118150103,Spain,Rep-22,Customer mentioned a competitor's promotional pricing.,Renewal,1
CRM000191,2019-01-01,80006154,A1718150204,Philiphines,Rep-02,Customer asked for more information about the premium variant.,Qualified,0
CRM000192,2019-09-01,90017059,A0921150601,Portugal,Rep-28,Customer asked for more information about the premium variant.,Renewal,0
CRM000193,2019-07-01,90008165,A4218110202,Australia,Rep-03,Customer is satisfied with the product and is considering expanding the order.,Renewal,0
CRM000194,2020-01-01,70013126,A6319160203,Italy,Rep-26,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000195,2019-01-01,70009134,A0519150203,Newzealand,Rep-29,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000196,2020-02-01,90016176,A6419160303,Poland,Rep-23,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000197,2020-05-01,90009129,A7321160302,Newzealand,Rep-05,Customer asked for more information about the premium variant.,Negotiation,0
CRM000198,2020-04-01,90006153,A6018110103,Philiphines,Rep-18,Customer is considering a competitor because our price is higher.,Qualified,1
CRM000199,2019-03-01,90004063,A4520110505,Japan,Rep-05,Customer is satisfied with the product and is considering expanding the order.,Qualified,0
CRM000200,2018-10-01,90019200,A2821150802,Sweden,Rep-19,Customer asked for more information about the premium variant.,Qualified,0
CRM000201,2019-09-01,90018108,A1018150102,Spain,Rep-27,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
CRM000202,2021-06-01,90018106,A3119150301,Spain,Rep-04,Customer requested a better commercial offer before renewing the purchase.,Renewal,0
CRM000203,2019-06-01,70015151,A4319110305,Norway,Rep-12,Customer raised concerns about product availability and delayed delivery.,Renewal,0
CRM000204,2019-09-01,70017060,A2821150801,Portugal,Rep-12,Customer mentioned a competitor's promotional pricing.,Negotiation,1
CRM000205,2020-12-01,90022074,A1118150202,USA,Rep-11,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000206,2019-02-01,90017050,A1420150502,Portugal,Rep-03,Customer is satisfied with the product and is considering expanding the order.,Prospecting,0
CRM000207,2020-03-01,70003181,A5721110508,Indonesia,Rep-23,Customer requested a better commercial offer before renewing the purchase.,Proposal,0
CRM000208,2020-04-01,70010048,A6219160103,Bangladesh,Rep-23,Customer requested a better commercial offer before renewing the purchase.,Prospecting,0
CRM000209,2019-01-01,90022079,A5419110204,USA,Rep-25,Customer is considering a competitor because our price is higher.,Renewal,1
CRM000210,2018-12-01,90003179,A3220150406,Indonesia,Rep-18,Customer is considering a competitor because our price is higher.,Renewal,1
CRM000211,2019-05-01,70014142,A4218110204,Netherlands,Rep-19,Customer requested a better commercial offer before renewing the purchase.,Prospecting,0
CRM000212,2019-05-01,70013126,A0219150202,Italy,Rep-27,Customer requested a better commercial offer before renewing the purchase.,Renewal,0
CRM000213,2020-02-01,70003181,A1018150101,Indonesia,Rep-17,Customer asked for more information about the premium variant.,Qualified,0
CRM000214,2020-12-01,90001020,A2720150701,China,Rep-06,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000215,2019-12-01,90014141,A5621110405,Netherlands,Rep-22,Customer is satisfied with the product and is considering expanding the order.,Proposal,0
CRM000216,2019-02-01,90005159,A6219160103,Pakistan,Rep-15,Customer raised concerns about product availability and delayed delivery.,Qualified,0
CRM000217,2020-02-01,90013117,A4620110608,Italy,Rep-12,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000218,2019-04-01,90017056,A3621150801,Portugal,Rep-30,Customer mentioned a competitor's promotional pricing.,Proposal,1
CRM000219,2019-07-01,90022079,A7118160101,USA,Rep-03,Customer mentioned a competitor's promotional pricing.,Qualified,1
CRM000220,2020-02-01,90004065,A0220150203,Japan,Rep-20,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000221,2020-10-01,90004061,A0321150303,Japan,Rep-30,Customer asked for more information about the premium variant.,Prospecting,0
CRM000222,2021-05-01,90011187,A2720150701,France,Rep-27,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000223,2021-02-01,70010047,A3920150305,Bangladesh,Rep-15,Customer is satisfied with the product and is considering expanding the order.,Negotiation,0
CRM000224,2021-06-01,80007195,A6419160301,South Korea,Rep-12,Customer requested a better commercial offer before renewing the purchase.,Qualified,0
CRM000225,2019-01-01,90013123,A4419110407,Italy,Rep-03,Customer mentioned a competitor's promotional pricing.,Qualified,1
CRM000226,2019-11-01,70016177,A5721110504,Poland,Rep-23,Customer is satisfied with the product and is considering expanding the order.,Proposal,0
CRM000227,2020-12-01,90020100,A4319110305,Austria,Rep-24,Customer is considering a competitor because our price is higher.,Proposal,1
CRM000228,2019-03-01,90012037,A4620110605,Germany,Rep-03,Customer is considering a competitor because our price is higher.,Qualified,1
CRM000229,2021-03-01,90021090,A3621150801,United Kingdom,Rep-11,Customer raised concerns about product availability and delayed delivery.,Negotiation,0
